doc_id,document_type_guess,year_guess,title_guess,author_guess,doi_guess,materials,processes,properties,text_chars,text_quality,source_path,normalized_target
9c4265af48d79690,journal_or_report,2019,Journal of the Mechanics and Physics of Solids 122 (2019) 418–434,Contents lists available at ScienceDirect,10.1016/j.jmps.2018.09.027,[],"['deformation', 'surface_engineering']",['strength'],64899,ok,D:\测试文献\1-s2.0-S0022509618304824-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Journal of the Mechanics and Physics of Solids 122 (2019) 418–434_2019.pdf
0396549e2d9c1f9f,journal_or_report,2025,J. Mech. Phys. Solids 203 (2025) 106161,Contents lists available at ScienceDirect,10.1016/j.jmps.2025.106161,"['composite', 'titanium_alloy']","['additive_manufacturing', 'heat_treatment']","['microstructure', 'strength']",93218,ok,D:\测试文献\1-s2.0-S0022509625001371-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\J. Mech. Phys. Solids 203 (2025) 106161_2025.pdf
4ff700b684fd6e4b,journal_or_report,2023,Ocean Engineering 281 (2023) 114668,Contents lists available at ScienceDirect,10.1016/j.oceaneng.2023.114668,"['aluminum_alloy', 'steel', 'titanium_alloy']",[],"['ballistic', 'strength']",46714,ok,D:\测试文献\1-s2.0-S0029801823010521-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Ocean Engineering 281 (2023) 114668_2023.pdf
4ba3631e96dc202d,journal_or_report,2016,Optics & Laser Technology 83 (2016) 140–147,Contents lists available at ScienceDirect,10.1016/j.optlastec.2016.04.005,"['ceramic', 'composite', 'titanium_alloy']",['surface_engineering'],"['corrosion', 'microstructure', 'strength', 'thermal_stability']",33966,ok,D:\测试文献\1-s2.0-S0030399215302772-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 83 (2016) 140–147_2016.pdf
4e369b8b64b24e9d,journal_or_report,2016,Optics & Laser Technology 82 (2016) 170–182,Contents lists available at ScienceDirect,10.1016/j.optlastec.2016.03.008,"['ceramic', 'composite', 'steel']","['additive_manufacturing', 'surface_engineering', 'welding']","['corrosion', 'microstructure', 'strength', 'thermal_stability']",31176,ok,D:\测试文献\1-s2.0-S0030399215307131-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 82 (2016) 170–182_2016.pdf
9aa4e5c3be5fc43c,journal_or_report,2022,Optics & Laser Technology 155 (2022) 108449,Contents lists available at ScienceDirect,10.1016/j.optlastec.2022.108449,"['aluminum_alloy', 'ceramic', 'composite', 'steel', 'titanium_alloy']",['surface_engineering'],"['corrosion', 'microstructure', 'strength', 'thermal_stability']",43368,ok,D:\测试文献\1-s2.0-S0030399222006053-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 155 (2022) 108449_2022.pdf
136a74f0bf0b623e,journal_or_report,2023,Optics & Laser Technology 161 (2023) 109220,Contents lists available at ScienceDirect,10.1016/j.optlastec.2023.109220,"['composite', 'titanium_alloy']","['deformation', 'surface_engineering']","['corrosion', 'microstructure', 'strength']",55530,ok,D:\测试文献\1-s2.0-S0030399223001135-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 161 (2023) 109220_2023.pdf
dae2e061e2ee502e,journal_or_report,2023,Optics & Laser Technology 164 (2023) 109456,Contents lists available at ScienceDirect,10.1016/j.optlastec.2023.109456,"['aluminum_alloy', 'titanium_alloy']","['heat_treatment', 'surface_engineering', 'welding']",[],40196,ok,D:\测试文献\1-s2.0-S0030399223003493-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 164 (2023) 109456_2023.pdf
f8cec027640796fc,journal_or_report,2023,Optics & Laser Technology 167 (2023) 109595,Contents lists available at ScienceDirect,10.1016/j.optlastec.2023.109595,"['aluminum_alloy', 'composite', 'titanium_alloy']","['deformation', 'surface_engineering']","['microstructure', 'strength', 'thermal_stability']",94084,ok,D:\测试文献\1-s2.0-S0030399223004887-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 167 (2023) 109595_2023.pdf
3e5d56e19182dbb2,journal_or_report,2024,Optics & Laser Technology 174 (2024) 110612,Contents lists available at ScienceDirect,10.1016/j.optlastec.2024.110612,"['ceramic', 'composite', 'steel', 'titanium_alloy']","['additive_manufacturing', 'surface_engineering']","['fatigue', 'microstructure', 'strength', 'thermal_stability']",51415,ok,D:\测试文献\1-s2.0-S0030399224000707-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 174 (2024) 110612_2024.pdf
b58bdb3afc3efb13,journal_or_report,2024,Optics & Laser Technology 179 (2024) 111365,Contents lists available at ScienceDirect,10.1016/j.optlastec.2024.111365,"['aluminum_alloy', 'steel']","['additive_manufacturing', 'deformation', 'surface_engineering']","['corrosion', 'microstructure', 'thermal_stability']",46467,ok,D:\测试文献\1-s2.0-S0030399224008235-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Optics & Laser Technology 179 (2024) 111365_2024.pdf
5ceb2a1411505ee1,journal_or_report,2022,Powder Technology 403 (2022) 117410,Contents lists available at ScienceDirect,10.1016/j.powtec.2022.117410,[],"['additive_manufacturing', 'powder_metallurgy']",[],49722,ok,D:\测试文献\1-s2.0-S0032591022003047-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Powder Technology 403 (2022) 117410_2022.pdf
32d8f8daa1ccdbbc,journal_or_report,2021,Surface & Coatings Technology 416 (2021) 127137,Contents lists available at ScienceDirect,10.1016/j.surfcoat.2021.127137,"['composite', 'titanium_alloy']","['casting', 'surface_engineering']","['corrosion', 'microstructure', 'strength']",31479,ok,D:\测试文献\1-s2.0-S025789722100311X-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Surface & Coatings Technology 416 (2021) 127137_2021.pdf
3a14986b949d2d5a,journal_or_report,2023,Surface & Coatings Technology 464 (2023) 129541,Contents lists available at ScienceDirect,10.1016/j.surfcoat.2023.129541,['titanium_alloy'],['surface_engineering'],"['microstructure', 'strength']",49820,ok,D:\测试文献\1-s2.0-S025789722300316X-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Surface & Coatings Technology 464 (2023) 129541_2023.pdf
13cacc9e2dbfeaa4,journal_or_report,2020,Measurement 161 (2020) 107843,Contents lists available at ScienceDirect,10.1016/j.measurement.2020.107843,['steel'],['surface_engineering'],[],52809,ok,D:\测试文献\1-s2.0-S026322412030381X-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Measurement 161 (2020) 107843_2020.pdf
5411e9f483604ebf,journal_or_report,2025,Materials & Design 260 (2025) 114902,Contents lists available at ScienceDirect,10.1016/j.matdes.2025.114902,['composite'],[],[],53305,ok,D:\测试文献\1-s2.0-S026412752501322X-main.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Materials & Design 260 (2025) 114902_2025.pdf
210194cc00edf183,journal_or_report,2007,2007,,,['aluminum_alloy'],[],['ballistic'],2075,ok,D:\测试文献\EFP对有限厚603靶板侵彻的试验研究.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\EFP对有限厚603靶板侵彻的试验研究_2007.pdf
4cd4ef9d59628828,journal_or_report,2023,第 52 卷,RARE METAL MATERIALS AND ENGINEERING,,"['aluminum_alloy', 'titanium_alloy']","['additive_manufacturing', 'casting', 'heat_treatment', 'surface_engineering', 'welding']","['microstructure', 'strength']",17201,ok,D:\测试文献\Er、Sc微合金化对WAA...6Mg合金组织与性能的影响_李承德.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Er、Sc微合金化对WAA...6Mg合金组织与性能的影响_李承德_2023.pdf
a8e5f08be591e481,journal_or_report,2020,密,,,['magnesium_alloy'],"['casting', 'deformation', 'heat_treatment']","['ductility', 'microstructure', 'strength']",69595,ok,D:\测试文献\Er元素对Mg-Gd-Y-...-Zr合金组织与性能的影响_吴凯.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\Er元素对Mg-Gd-Y-...-Zr合金组织与性能的影响_吴凯_2020.pdf
2c1a500a68ea2ae4,journal_or_report,2013,硕士学位论文,USING OF ESD METHOD TO IMPROVE,,"['aluminum_alloy', 'composite', 'steel', 'titanium_alloy']","['heat_treatment', 'surface_engineering', 'welding']","['ballistic', 'corrosion', 'microstructure', 'thermal_stability']",153073,ok,D:\测试文献\ESD法提高TC11钛合金耐热性能研究_扎哈尔（Dolgiy_Zakhar）.pdf,D:\测试文献\literature_kb_pipeline\normalized\journal_or_report\ESD法提高TC11钛合金耐热性能研究_扎哈尔（Dolgiy_Zakhar）_2013.pdf
